,description,Product Description,ASIN,Manufacturer
43,"[' ➧ PREMIUM MATERIAL: This stylish attractive backpack is made of high quality, water-resistant synthetic Vegan Leather material. For the inner lining, we use soft feel premium quality polyester fabric. The metal fittings, zippers and buckles used are of premium quality.  ', ' ➧CONVENIENT DESIGN: This professional backpack is designed with two main storage compartments with separate cushioned sleeve to protect your laptop.It can carry laptops up to 14 inches. It also comes with an additional outer compartment and internal organized pockets to store small items.This backpack comes with padded handles and adjustable shoulder strap. Soft foam used inside the shoulder strap helps reduce stress during commute.  ', ' ➧ USB FEATURE & STORAGE: External USB port with built-in charging cable enables convenient charging by connecting your power bank with your electronic devices.  ', ' ➧STORAGE & SPACE: Ideal for laptop up to 14 inch. Dimensions are (L) 32 x (W)16 x (H) 42 cm. Total capacity : 27 litres.  ', ' ➧ONE YEAR WARRANTY: The Clownfish offers a 1-year warranty on the product against any manufacturing defect.  ']","The Clownfish is an enhanced brand that endorses high efficient designed bags that are known for Endurance, Durability, and Elegance. It has an exclusive top-rated collection of bags that complement every mood of our customers, ranging from Briefcases, messenger bags, Backpacks, Duffels, Slings, Wallets & more.The Clownfish understands the needs of the modern consumer and on that basis, it designs its product in adherence to Style, Color, Mood as well as Quality. Presently, The Clownfish has 500 plus products in its house, designed efficiently from Leather, leatherette, polyester, canvas, nylon, etc thus offering a wide number of choices to the customers. We at The Clownfish prioritize our customers and deliver the best service we can and ensure maximum satisfaction.P.when('A', 'Airy', 'ready').execute(function(A, Airy) {
    setTimeout(setupAiry(A,Airy), 3000);

    function setupAiry(A, Airy) {
        var airyAssetConfig = {};

        airyAssetConfig[""parentId""] = ""cef4e1c2-a811-4151-aeeb-78e275ef21dc"";
        airyAssetConfig[""desiredMode""] = ""html"";
        airyAssetConfig[""swfUrl""] = ""https://m.media-amazon.com/images/G/01/vap/video/airy2/prod/2.0.1460.0/flash/AiryBasicRenderer._CB485925577_.swf""

        airyAssetConfig[""htmlVideoAttributes""] = {
            ""preload"": ""none"",
        };

        
        if(""Install Flash Player"".length > 0) {
            airyAssetConfig[""installFlashButtonText""] = ""Install Flash Player"";
        }
        if(""Adobe Flash Player is required to watch this video."".length > 0) {
            airyAssetConfig[""installFlashPrompt""] = ""Adobe Flash Player is required to watch this video."";
        }
        if(""Sorry, an error has occurred while attempting video playback. Please try again later."".length > 0) {
            airyAssetConfig[""playbackErrorPrompt""] = ""Sorry, an error has occurred while attempting video playback. Please try again later."";
        }
        if(""Sorry, this video is unsupported on this browser."".length > 0) {
            airyAssetConfig[""videoUnsupportedPrompt""] = ""Sorry, this video is unsupported on this browser."";
        }

        var requestId, sessionId, marketplaceId, contentId;

         
                requestId = ""BT8FMVZD1C94BE02ANR3"";
                
                sessionId = ""262-9296922-8688837"";
                
                marketplaceId = ""A21TJRUUN4KGV"";
                
                contentId = "" "";
              

        airyAssetConfig[""contentId""] = contentId;

        if(false){
            airyAssetConfig[""ignoreBundledSkin""] = true;
        }

        airyAssetConfig[""mediaSourceInfo""] = [
            ""https://m.media-amazon.com/images/S/aplus-media/sc/1b9e8234-7204-431c-b41f-b2a2f21547bf.mp4"",
        ];

        if(""https://m.media-amazon.com/images/S/aplus-media/sc/45c2e10f-d9d4-44a4-9e24-02f0b45a6f74.__CR0,1,1920,1078_PT0_SX650_V1___.jpg"".length > 0 || ""https://m.media-amazon.com/images/S/aplus-media/sc/45c2e10f-d9d4-44a4-9e24-02f0b45a6f74.__CR0,1,1920,1078_PT0_SX650_V1___.jpg"".length > 0){
            airyAssetConfig[""slateImages""] = {};
        }

        if(""https://m.media-amazon.com/images/S/aplus-media/sc/45c2e10f-d9d4-44a4-9e24-02f0b45a6f74.__CR0,1,1920,1078_PT0_SX650_V1___.jpg"".length > 0){
            airyAssetConfig[""slateImages""][""preloadSlate""]  = ""https://m.media-amazon.com/images/S/aplus-media/sc/45c2e10f-d9d4-44a4-9e24-02f0b45a6f74.__CR0,1,1920,1078_PT0_SX650_V1___.jpg"";
        }
        if(""https://m.media-amazon.com/images/S/aplus-media/sc/45c2e10f-d9d4-44a4-9e24-02f0b45a6f74.__CR0,1,1920,1078_PT0_SX650_V1___.jpg"".length > 0){
            airyAssetConfig[""slateImages""][""postMediaSlate""] = ""https://m.media-amazon.com/images/S/aplus-media/sc/45c2e10f-d9d4-44a4-9e24-02f0b45a6f74.__CR0,1,1920,1078_PT0_SX650_V1___.jpg"";
        }

        airyAssetConfig[""backgroundColor""] = ""#000000"";

        var gifLike = (false || false || false);

        var videoHeight, videoWidth;

        airyAssetConfig[""bindings""] = {
            canplay: function() {
                if(!Airy.isMobilePlatform() && gifLike){
                    aplusAiryInstance.audioOff();
                    aplusAiryInstance.play();
                }
            },
            play : function() {
                if (Airy.isMobilePlatform()){
                    aplusAiryInstance.enterFullScreen();
                }
            },
            ended: function(){
                if(!Airy.isMobilePlatform() && gifLike){
                    aplusAiryInstance.replay();
                }
            },
            loadedmetadata: function(e, f) {
                videoWidth = f.videoWidth;
                videoHeight = f.videoHeight;
            }
        };

        var metricsMethod = Airy.isMobilePlatform() ? ""MobileDetailPage"" : ""DetailPage"";

        if (gifLike) {
            airyAssetConfig[""isForesterTrackingDisabled""] = true;
        }

        
        airyAssetConfig[""foresterMetadataParams""] = {
            client : ""AplusEmc"",
            method : metricsMethod,
            marketplaceId : marketplaceId,
            requestId : requestId,
            session : sessionId
        };

        var aplusAiryInstance = Airy.embed(airyAssetConfig);

        A.on(""aplus:cef4e1c2-a811-4151-aeeb-78e275ef21dc:play"", function(){
            aplusAiryInstance.play();
        });

        A.on(""aplus:cef4e1c2-a811-4151-aeeb-78e275ef21dc:pause"", function(){
            aplusAiryInstance.pause();
        });

        A.on(""aplus:cef4e1c2-a811-4151-aeeb-78e275ef21dc:loadMedia"", function(media){
            aplusAiryInstance.loadMedia(media);
        });
        A.on(""aplus:cef4e1c2-a811-4151-aeeb-78e275ef21dc:mediaMetadata"", function(cb){
            cb(videoWidth, videoHeight);
        });
    }

});Get set to watch the perfectly designed Victor laptop backpack presented by The Clownfish.HANDLECarry easily while travelling. Travel backpacks are designed to evenly distribute their load on your shoulders, making them easy to carry for several hours.Read moreADJUSTABLE STRAPS AND ERGONOMIC DESIGNThe Clownfish Victor backpack is efficiently provided with adjustable cushioned shoulder straps which can bear weight with great efficiency. It also has an ergonomic design which provides comfort to back while carrying the bag.Read moreRead moreADDITIONAL FEATURESDURABLE ZIPPERSUSB PORTDURABLE BUCKLEREINFORCEMENT MATERIALSRead more",B07PHSQ1SJ,The Clownfish
44,"[' CRAFTED WITH INDUSTRY BEST PREMIUM MATERIALS: Materials: Vegan leather and nylon fabric, Casing: Soft, Colour: Green, Water resistant: Yes.   ', ' PADDED LAPTOP COMPARTMENT AND MAXED OUT STORAGE: Dimension: 29 x 14 x 41 cm, Capacity: 16L, Fits up to a 15.4” laptop   ', ' MOST FEATURE RICH BACKPACK: Vegan leather trims, Padded shoulder straps, Easy length adjustment buckle & strap lock, Hidden expandable side water bottle pocket, Luggage sleeve   ', ' HIDDEN MAGNETIC POCKET: Snaps close and stores your phone/passport for quick access; MORE REASONS TO LOVE YOUR MOKOBARA: Warranty type: 12 Months, Register warranty on (mokobara.com/warranty), get in touch with us @7975298840 (10:30AM - 5:30PM MON-FRI)   ', ' Warranty Description: 12 Months Warranty; Color Name: Happy Green; Closure Type: Zipper; Age Range Description: Adult; Lining Description: Polyester; Compartment Description: Up To 16 Inches; Pattern Name: Solid   ']",,B08SW9W2FY,"Designed By Mokobara Lifestyle Private Limited, Mokobara Lifestyle Private Limited, Bangalore. Customer Care: Email : hello@mokobara.com Contact no. 7975298840 (10:30AM - 5:30PM MON-FRI)"
45,"[' Material: Nylon, Inner Material: Polyester, Capacity: 50 Liters, Color: Grey & Navy Blue, Special Features: Back Padding, Chest Strap, Earphone Cord Support, Hip Belt, Integrated Rain Cover, Laptop Compartment, Telescope Handle, Water Bottle / Umbrella Pouch, Zip Closure, Padded Handles, Shoulder Strap,   ', ' Water Resistant; 2 compartments and 6 pockets Backpack with glossy finis; Separate laptop compartment   ', ' Internal compartments with organizer pockets and internal divider for organization   ', ' Closure Type: Zipper Snap; Age Range Description: Adult   ', ' Compartment Description: Greater Than 17 Inches; Strap Type: Chain; Warranty Description: 1. Year Manufacturer Warranty; Pattern Name: Solid   ']","HEROZ Hammer Unisex Nylon 45 L Travel Laptop Backpack Water Resistant Slim Durable Fits Up to 17.3 Inch Laptop Notebook (All) (Navy Blue & Sky Blue)Material :Nylon, Inner Material: PolyesterCapacity:50 LitersColor:Navy Blue & Sky BlueRead moreHEROZ Hammer Unisex Nylon 45 L Travel Laptop BackpackThese backpack by Heroz is ergonomically designed for all ages, genders and purposes. Made of PU polyester material, this bag is ideal for use as a college bag, casual backpack, laptop bag or a work bag.Read moreStyle and Substance:The backpack undertones gives a neutral look and an advantage over excess dust collection. 3 main and an extra compartment provides ample storage space for accessories, electronics, notebooks and stationery. Also comes with bottle mesh pockets on either sides.Comfort First:The padded base, back and shoulder straps provide comfort and support for carrying heavy items for a long duration.Special Features:Back Padding, Chest Strap, Earphone Cord Support, Hip Belt, Integrated Rain Cover, Laptop Compartment, Telescope Handle, Water Bottle / Umbrella Pouch, Zip Closure, Padded Handles, Shoulder Strap.Read moreRead more",,‎Heroz
46,[],,,
47,[],,,
48,[],,,
49,[],,,
50,[],,,
51,[],,,
52,[],,,
53,[],,,
54,"[' COMPATIBLE WITH 15.6 INCH LAPTOP”: The Northzone Backpack fits up to 15.6 inch laptop. Dimensions: 34cm x 15cm x 45.5cm; Weight: 499g; HIGH QUALITY, DURABLE AND WATER REPELLANT FABRIC”: This backpack features in durable snow yarn polyester fabric and streamlined design with a padded interior to protect notebooks and important items   ', ' CONVENIENT TRAVEL"" Adjustable shoulder strap and padded laptop compartment together with a quilted back panel make it comfortable for all-day use   ', ' CONVENIENTLY PLACED PADDED LAPTOP COMPARTMENTS AND POCKETS: The padded interior helps protect notebooks and important items. Quick access zippered front pocket for added storage. A quilted back panel make it comfortable for all-day use.   ', ' HIGH QUALITY, CASUAL YET STYLISH DESIGN"": very attractive and perfect for school, travel and outdoor activities. The perfect backpack for those needing stylish all-day protection for their laptop.   ', ' Age Range Description: Adult; Pocket Description: Utility Pocket; Water Resistance Level: Not Water Resistant; Pattern Name: Solid   ']",,B0BL3TVDK6,"Northzone, Plot no 35 to 40 KH.No. 28/2 Ground Floor Agar Nagar Prem Nagar Phase 3 Delhi 110086"
55,"[' ? MATERIAL: Polyester; ? Compartment Description:- Up To 15 Inches; Color Name: Blue & Black; Special Features: Bottle Holder; Pocket Description: Utility Pocket; Pattern Name: Solid; Style Name: Daypack Backpacks.   ', ' ? Special Features:- Padded breathable back with adjustable shoulder straps which protect the backbone and help to relieve stress on shoulders, lightweight, bottle holder, and rain cover. Made in India.   ', ' ? Consumer:- Suitable for men, women, students, boys & girls, can be used as a school, college, office, or day traveling backpacks.   ', ' ? Dimension:- 32 x 18 x 48 cm, Number of Compartment: 3 full size compartments, Laptop Compartment : Padded laptop compartment, Capacity: 27 Liters, Laptop Size: 13 to 15 inches.   ', ' Water Resistance Level: Not Water Resistant; Closure Type: Zipper; Age Range Description: Adult   ']",,B0BG2V1VJ7,"Dopenain, Dopenain (ecom.medinain@gmail.com) (+91 9315356002)"
56,[],,,
57,[],,,
58,"[' Capacity design: Can hold laptops of 15.6 inches and below. A main spacious packing room, and there are multiple pockets, pen pockets and compartments for small items at the front to keep your items organized and easier to find. An anti-theft pocket located inside the bag keeps your passport, wallet, phone and other valuable items safe and handy  ', ' Durable & comfortable: This classic college backpack is made of water-resistant, sturdy and tear-resistant oxford material, with double metal zippers. Comfortable airflow back design with thick but soft multi-panel ventilated padding gives you maximum back support. Lightweight structure and ergonomically shaped shoulder straps with two ""S"" adjustable breathable padding make carrying easy and comfortable  ', ' Function& Safe: External dimensions: A luggage strap allows backpack fit on luggage/suitcase, slide over the luggage upright handle tube for easier carrying. Internal shockproof belt for fastening your laptop and iPad, preventing them from sliding and bumping. With a hidden anti theft pocket inside the bag protect your valuable items from thieves. Well made for international airplane travel and day trip  ', ' Ideal Gift: This fashionable laptop backpack can be a great companion for travel, business, everyday use and outdoor activities. Also, a perfect college high school student backpack for boys, girls, teens. Practical gifts for teens, boys, girls, friends, mother, father, her or him.  ']",,,
59,[],,,
60,"[' Care Instructions: Wipe with Damp Cloth  ', ' PADDED LAPTOP COMPARTMENT WITH MAXED OUT STORAGE : Generous 32 Ltrs backpack with Dimension of 32 Cm x 22 Cm x 45 Cm, 2 full size compartments, 1 front zipper & 2 side pockets, Fits upto 15.6 inches Laptop with elasticated strap lock at just 590 grams.  ', ' CRAFTED WITH PRECISION : Made with strong, water resistant Polyester fabric and faux leather for a lightweight and durable finish. Our polestar Vintage backpack is a blend of style and utility. A classic design with opulent detailing and vegan leather material adds to your style and keeps your belongings safe.  ', ' COMFORTABLE CARRY : This strong and impervious backpack is a fabulous choice for daily use. Guaranteed for strength and durability, it has padded breathable mesh back and adjustable straps. The interiors have added foam padding to protected electronics. Ergo-Grip Backstraps that distribute weight evenly over your shoulders and back, while the integrated top grab handle lets you move effortlessly.  ', ' BENEFITS: 2 main compartments provide optimal organisation, with premium zippers keeping your valuables protected, two side water bottle pockets help keep your goods dry and body hydrated.  ', ' VERSATILITY : This made in india versatile backpack comes with 12 months warranty, and is perfect for everyone, men, women, students, boys & girls, can be used as school, college, office or day travelling backpacks. All in one VINTAGE BACKPACK by Polestar.  ']",,,
61,[],,,
62,"[' Strong stitching at major stress points provide long-lasting durability against daily activities  ', ' Mesh side water bottle pocket. Adjustable shoulder strap.  ', ' This bag is made out of high tensile Main large compartment with double zip closure. Tough high durability fabricpolyester fabric which is known for being strong and water-repellent  ', ' High quality double zippers, easy to access. Highly water-resistant finish to save inner items from water splashes  ', ' Comes in attractive color combinations.  ']",,,
63,"[' PERFECT SIZE & STORAGE SPACE: Laptop backpack with perfect size to hold things and your 15.6 inch laptop or 15 inch, 14 inch Laptop. Convenient main pockets for iPad, charger, binders, books, clothes, ect. Inside pockets keep your wallet, phone. school bag for girls / bags for women / kids school bag / college bags for boys / laptop backpack .  ', ' Front two slanted pocket perfect for quick finds such as your ID for work, f gear laptop bags . keys for open door, two side pockets for water bottle and compact umbrella make your items organized. it can be use as school college bags for girls / backpack for men /backpacks for women . you can use it as a gift for men . bags for travelling  ', ' COMFY & STURDY: Made from WATER RESISTANT and DURABLE ECO-FRIENDLY nylon fabric with Two PADDED shoulder straps, relieve the stress of shoulder, simple but comfortable back design offer your great back support, making your working, journey and travelling more convenient wherever you go. you can use it such as office bag for men . office bag for women .  ', ' Light-weight Carrying and perfect for business traveling or trip, weekend getaways, back to school, outdoor activities and college bag for men etc;  ', ' MULTIPURPOSE & SIZE: 20 x 12.2 x 5.7 Inch, perfect to throw under your seat on an airplane when you are traveling or on business trip. Suitable for back to school college, can be easily stored. Good choose for a business laptop backpack, work backpack, laptop bag for men and women, also will be a good gifts for women, gifts for men, gifts for boyfriend or girlfriend and gift bag for travelers.  ', ' strap_type: Shoulder Strap  ']",,,
64,"[' COMPATIBLE WITH 15.6 INCH LAPTOP”: The Northzone Backpack fits up to 15.6 inch laptop. Dimensions: 34cm x 15cm x 45.5cm; Weight: 499g; HIGH QUALITY, DURABLE AND WATER REPELLANT FABRIC”: This backpack features in durable snow yarn polyester fabric and streamlined design with a padded interior to protect notebooks and important items   ', ' CONVENIENT TRAVEL"" Adjustable shoulder strap and padded laptop compartment together with a quilted back panel make it comfortable for all-day use   ', ' CONVENIENTLY PLACED PADDED LAPTOP COMPARTMENTS AND POCKETS: The padded interior helps protect notebooks and important items. Quick access zippered front pocket for added storage. A quilted back panel make it comfortable for all-day use.   ', ' HIGH QUALITY, CASUAL YET STYLISH DESIGN"": very attractive and perfect for school, travel and outdoor activities. The perfect backpack for those needing stylish all-day protection for their laptop.   ', ' Pocket Description: Utility Pocket; Age Range Description: Adult; Water Resistance Level: Waterproof; Color Name: Neavy Blue; Pattern Name: Solid   ']",,B0BCYX6DW2,"Northzone, Plot no 35 to 40 KH.No. 28/2 Ground Floor Agar Nagar Prem Nagar Phase 3 Delhi 110086"
65,"[' CONSUMER: Suitable for men, women, students, boys & girls, can be used as school, college, office or day travelling backpacks   ', ' Style Name: Casual; Lining Description: Polyester; Strap Type: Shoulder Strap; Material Type: Polyester; Pattern Name: Solid; Age Range Description: Adult   ']",,B0BCW7CFDP,
66,"[' 2 Large Compartments + 2 Easy access front Pocket with organizersection & 2 mesh side pocket  ', ' Made in India. Outer Fabric: Durable PU coated water resistance Polyester Fabric.  ', ' Well cushioned Laptop compartment for upto 15.6 inch Laptop  ', ' Weight: 780gm; Dimensions: 14 x 18 x 7 inches (WxHxD); Warranty: 1 year Warranty against manufacturing defects.  ', ' Lining Description: Polyurethane; Water Resistance Level: Waterproof; Special Features: Bottle Holder; Age Range Description: Adult; Closure Type: Zipper; Pocket Description: Utility Pocket  ']","29L Laptop BackpackThe Cosmus backpack is a sleek, light bag with a young-at-heart design that's perfect for school or daily travel. Made for daily use, this bag is not oversized and is meant to carry your essentials. With its trendy looks and easy to organize design, this bag is cute and suave as well as useful, to help you complete your look. Quietly stylish and durable, it features multiple compartments to help organize your stuff.Read moreDesignFeaturing padded handles and shoulder straps, zipper compartments and bottle holders, this bag comes with everything you need to tackle your daily commute.CompartmentsThis bag features buckle Inner Pockets, so your belongings are safe, secure and well organized inside. A mobile pocket is provided to keep your phone in case you want to go completely hands-free. One outer pocket.MaterialPolyester is widely popular on account of its durability and toughness. Made of fibres that do not wear down quickly even with daily use and it is resistant to wrinkling and shrinking. The light weight feel of the material also makes it a very in-demand material for backpacks.Read more",,‎Cosmus
67,"[' Please reach out to our customer care at +91 8691800800 or email at customercare@uppercase.co.in for warranty registration and any query regarding the product. Handcrafted with care and made up of premium quality robust material   ', ' Wrinkle free bag and 3x more water resistant with Rainproof zippers; Trolley sleeve to securely place the bags on the luggage; Roll top wide opening for easy access; Padded laptop compartment fits up to 15”, Front Access pocket & Back padding with Air mesh   ', ' Right sized with sturdy stitching; Dimension: (26.5 cm x 13.3 cm x 38.2); Warranty: 750 days international warranty   ', ' GRS certified for sustainability; The GRS (Global Recycled Standard) is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596)   ', ' Pattern Name: Solid; Style Name: Laptop Bags; Lining Description: Polyester; Age Range Description: Kid; Closure Type: Buckle   ']",,B0B5NBLGBQ,"Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India"
68,[],,,
69,[],,,
70,[],,,
71,[],,,
72,"[' PERFECT SIZE & STORAGE SPACE: Laptop backpack with perfect size to hold things and your 15.6 inch laptop or 15 inch, 14 inch Laptop. Convenient main pockets for iPad, charger, binders, books, clothes, ect. Inside pockets keep your wallet, phone. school bag for girls / bags for women / kids school bag / college bags for boys / laptop backpack .  ', ' COMPREHENSIVE WORKSPACE: Front two slanted pocket perfect for quick finds such as your ID for work, f gear laptop bags . keys for open door, two side pockets for water bottle and compact umbrella make your items organized. It can be use as school college bags for girls / backpack for men /backpacks for women . you can use it as a gift for men .bags for travelling.  ', ' COMFY & STURDY: Made from WATER RESISTANT and DURABLE ECO-FRIENDLY nylon fabric with Two PADDED shoulder straps, relieve the stress of shoulder, simple but comfortable back design offer your great back support, making your working, journey and travelling more convenient wherever you go. you can use it such as office bag for men . office bag for women .  ', ' COMPACT AND EASY TO CARRY: Light-weight Carrying and perfect for business traveling or trip, weekend getaways, back to school, outdoor activities and college bag for men etc;  ', ' MULTIPURPOSE & SIZE: 20 x 12.2 x 5.7 Inch, perfect to throw under your seat on an airplane when you are traveling or on business trip. Suitable for back to school college, can be easily stored. Good choose for a business laptop backpack, work backpack, laptop bag for men and women, also will be a good gifts for women, gifts for men, gifts for boyfriend or girlfriend and gift bag for travelers.  ']",,,
73,"[' Strong stitching at major stress points provide long-lasting durability against daily activities. Main compartment with zip closure  ', ' Durable zippers and enhanced by strong stitching at major stress points  ', "" Lightweight and fold-able, It's easy to fold up into small compact space.  "", ' Water-resistant finish to save inner items from water splashes .  ', ' Optimum quality of accessories and zipper for smoother functioning and high durability  ']",,,
74,"[' Care Instructions: Wipe with Damp Cloth  ', ' Essence: This Fur Jaden smart laptop backpack is for Men and Women who are looking for a voguish, modernistic and branded backpack while having the option to not compromise on quality and be able to carry tons of stuff. Easy Access Pockets: A sleek anti theft pocket on the back as well as 2 pockets on the front side help keep all your belongings comfortably organised.  ', ' Multi Functional: This Fur Jaden Smart Backpack for men and women comes with a USB Charging Port which offers a convenient way to ensure you never run out of battery on the go. Organizer Pockets in the front compartment help keep al your accessories organized. Padded Laptop compartment helps keep your laptop safe.  ', ' Ergonomic Design: The backpack features a sleek and ergonomic design with a balanced weight distribution through its straps to reduce the load bearing on your shoulders while the padded ventilated air mesh helps reduce sweat. This makes this bagpack a suitable alternative to bulky and unsightly laptop backpacks. The compact design of this Fur Jaden smart travel bag helps you to rest it comfortably on your shoulders while accommodating all your essentials with ease.  ', ' Dimensions: 48 CM (H) x 30CM (W) x 15CM (D). Weight: 450 Grams. Volume: 22L  ', ' Warranty: 1 Year Manufacturer Warranty Against Manufacturing Defects.  ']",,,
75,[],,,
76,"[' Material: Nylon, Inner Material: Polyester, Capacity: 50 Liters, Color: Grey & Navy Blue, Special Features: Back Padding, Chest Strap, Earphone Cord Support, Hip Belt, Integrated Rain Cover, Laptop Compartment, Telescope Handle, Water Bottle / Umbrella Pouch, Zip Closure, Padded Handles, Shoulder Strap,   ', ' Water Resistant; 2 compartments and 6 pockets Backpack with glossy finis; Separate laptop compartment   ', ' Internal compartments with organizer pockets and internal divider for organization   ', ' Pocket Description: Utility Pocket; Age Range Description: Adult; Style Name: Travel Backpacks; Closure Type: Zipper Snap   ', ' Warranty Description: 1. Year Manufacturer Warranty; Pattern Name: Solid; Compartment Description: Greater Than 17 Inches   ']","HEROZ Hammer Unisex Nylon 45 L Travel Laptop BackpackThis grey and blue unisex backpack by Heroz is ergonomically designed for all ages, genders and purposes. Made of PU polyester material, this bag is ideal for use as a college bag, casual backpack, laptop bag or a work bag.Read moreSpecificationsHas a carrying capacity of 45 litres, and dimensions of 53 x 33 x 29 centimeters. Weighing at 989 gms, the bag is made out of durable PU coated polyester fabric and double dotted waterproof polyester for protection of all manner.Style and SubstanceThe blue color with grey undertones gives a neutral look and an advantage over excess dust collection. 2 main and an extra compartment provides ample storage space for accessories, electronics, notebooks and stationery. Also comes with bottle mesh pockets on either sides.Comfort FirstThe padded base, back and shoulder straps provide comfort and support for carrying heavy items for a long duration.Read more",,‎Heroz
77,"[' Large Capacity & Multi-pocket: Duo-bag,one has 2 pockets for laptop(under 17 inch) and pad(15.5 inch), inner shockproof belt for fastening your laptop and Pad, preventing them from sliding and bumping. One has 2 elastic mesh pockets and open pocket for daily stuffs. Hold your belongs organized and easier to find.  ', ' Comfy & Breathable: Adjustable shoulder straps and breathable sponge mesh design, reduces stress. Foam-padded top handle for a long time carry on. Water-proof: Waterproof and durable Nylon fabric with metal zippers. Ultra-weight and sturdy, ensure a secure & long-lasting use daily. Perfect for weekend getaways, shopping, office work, business traveling and other outdoor activities. Also, it is a perfect student’s backpack for women, men, teens, boys and girls.  ', ' smart compartments with a multi level organizer and quick access pockets,  ']",,B0BRGCG7N5,"Justify, Justify Mumbai"
78,[],,,
79,"[' Dual zipper elegant design, foldable and lightweight toiletry storage bag, with top hanging handle and little hanging hook   ', ' Keep traveling comfortably, have all your necessities right at hand, no more digging or dumping everything out to find what you need   ', ' This bag made of nylon and pearl cotton cushion (durable and lightweight, waterproof) with highest standard workmanship   ', "" Our will be your best side kick for travel, business trip, outdoors activities, car, boat and simple at home's bathroom or closet; Makeup bag waterproof for men and women's   "", ' Pattern Name: Solid; Age Range Description: Adult   ']",,,
80,"[' Laptop Compatibility: No, Strap Type: Adjustable  ', ' Outer Material: Polyester, Color: Blue  ', ' Water Resistance: Water resistant, Capacity: 29 liters; Dimensions: 33 x 51 x 22 cms (LxHxW)  ', ' Number of Wheels: 0, Number of compartments: 3  ', ' Mesh Padding on back & shoulder strap to provide comfort & better back support  ']",,,
81,"[' Material / Dimension : Outer Material - Premium leatherette Fabric, Inner Material – Soft Polyester, Size: 43 cm x 23 cm x 23 cm. (L x B x H), Color : Black  ', ' Capacity: 23 Liters, 1 Large Double Zip Closure Compartment, 1 external Mesh Organizer Pocket for the earphones, ID card, Sanitizer, House keys, Fitness Band. 1 Main Compartment for all your Gym Clothes, Gym belt, towel, Gym gloves, shaker, shoe Pair etc.  ', ' Design: Design with Self Embossed logo On the Premium Leatherette Heavy Quality Material. 3.8 Cm Wide and 125 cm Long Adjustable Handle and Double side easy carry handle.  ', ' Manufacturing & Warranty: This Product is made in INDIA By “The INDIAN KARIGAR “ and pass though the many quality checks and tests This Product is come With 1 year of Warranty.  ', ' Suitable: Auxter Black Gym Bag/ Duffel bag is suitable for gym, Day trip bag, casual round bag, travel bag is suitable for men women boys and Girls. This Bag is trending For Gift Purpose  ']",,,
82,"[' Made with High Quality fabric. Outer material: Nylon Twill - Soft, Durable and Water Resistant. Capacity: 36 liters, Dimensions: 48 x 33 x 23 cm Warranty: 12 months  ', ' 3 Spacious compartment: Store your Books, Stationary, Accessories, Lunch boxes, etc. It will store plenty of items. Laptop Sleeve: Ensure that your laptop is stored separately and Securely! Organizer: Keep every single item separately in an arranged manner, with the help of our organizer. 2 side pocket: For holding water bottle, clipping pens or pencil or storing other items. 1 Front Pocket: Easily accessible. To keep all your essentials such as wallet, ticket, cosmetics.  ', "" Easy grab padded handle: For added comfort and convinience to hold the bag. Padded and Ergonomic Shoulder Straps: There is padded back mesh and ergonomic straps that gives extra spine and shoulder support and helps in minimizing the load after carrying the bag through a busy day at campus.This women's backpack can be carried to work, college, school, for a day out or even while you are travelling!  "", ' Light Weight yet Durable to resist the weight of textbooks, stationary, lunch boxes. Can store all your college or office stationary, without any hassle.  ', "" Stylish & Cute: This bag is designed for those Millennials and GenZ, who aren't afraid to compromise on Utility or Fashion! It is a perfect, small bag to carry all the daily essentials while using it as a trendy accessory, or a travel bag or as a college backpack.  ""]",,,
83,"["" Made of durable water-resistant exterior fabric as well as protective soft padded interior. Laced with zippers for a long life span. it's also called such as side bag for men and sling bags for men .bag for men  "", "" Laptop bags Ultra Protection: Tabelito laptop shoulder bag features protective padding at the bottom of the individual laptop compartment and ultra-thick. you can use it as bags for mens ,side bag for men / side bag for men / office bag for women / gift for men . it's can be use as a interview bag or interview purpose  "", ' Well-organized: The main compartment features a laptop slot and a tablet slot for up to 11"" iPad Pro with smart case & keyboard. its also use as a office bag for women , office bag for men  ', ' Compact and Easy to Carry: Being lightweight, this bag can be comfortably carried with the handle . you can use it such as shoulder bag men , messenger bags for men , leather laptop bags for men/ laether briefcase / leather bag for men / office bag for women / laptop accessories / backpack for women  ', ' Adjustable shoulder strap, or hang on your suitcase through the luggage strap or slipped inside your backpack, messenger bag  ', ' Bag is perfect to carry laptops notebook up to 15.6 inch include 2019 New MacBook Pro 16 , MacBook Pro (Retina) 15, and other 14-15.6 inch Dell XPS / HP  ', ' Two front pockets With small and large pockets, and multiple elastic bands to make it easier than ever to organize accessories such as charger, cable, mouse, hub etc.  ', 'Laptop compartment size:43CM x 30CM x 8CM/16.9 x 11.8 x 3.1 INCH,Fits most 15 - 15.6 inch Laptop', 'Adjustable shoulder strap, or hang on your suitcase through the luggage strap or slipped inside your backpack, messenger bag']",,,
